Source,Target,Kind,Weight,Interval
Antigone,Nurse,co_occurrence,2,
Antigone,Ismene,co_occurrence,3,
Antigone,Haemon,co_occurrence,1,
Creon,Guard,co_occurrence,2,
Guard,Antigone,co_occurrence,2,
Guard,Creon,co_occurrence,2,
Antigone,Creon,co_occurrence,3,
Ismene,Creon,co_occurrence,1,
Creon,Chorus,co_occurrence,2,
Creon,Haemon,co_occurrence,1,
Chorus,Haemon,co_occurrence,1,
Messenger,Chorus,co_occurrence,1,
Messenger,Creon,co_occurrence,1,
Creon,Page,co_occurrence,1,
Messenger,Page,co_occurrence,1,
Chorus,Page,co_occurrence,1,
Creon,Polynices,pollution,,"<[1.0,15.0]>"
Polynices,Antigone,pollution,,"<[6.0,15.0]>"
Antigone,Guard,pollution,,"<[9.0,15.0]>"
Antigone,Ismene,pollution,,"<[6.0,15.0]>"
Antigone,Haemon,pollution,,"<[12.0,15.0]>"
Creon,Haemon,pollution,,"<[12.0,15.0]>"
Creon,Eurydice,pollution,,"<[14.0,15.0]>"
Haemon,Messenger,pollution,,"<[14.0,15.0]>"
Creon,Chorus,pollution,,"<[1.0,15.0]>"