Source,Target,EdgeType,Interval,Weight
AGAMEMNON,IPHIGENIA,pollution,"<[19.0,84.0]>",1
AGAMEMNON,KLYTEMNESTRA,pollution,"<[19.0,84.0]>",1
KLYTEMNESTRA,AGAMEMNON,pollution,"<[38.0,84.0]>",1
AGAMEMNON,ORESTES,pollution,"<[38.0,84.0]>",1
ELECTRA,ORESTES,pollution,"<[60.0,84.0]>",1
ORESTES,AEGISTHUS,pollution,"<[59.0,84.0]>",1
ORESTES,KLYTEMNESTRA,pollution,"<[63.0,84.0]>",1
ORESTES,DOCTOR,pollution,"<[66.0,84.0]>",1
ORESTES,CILISSA,pollution,"<[66.0,84.0]>",1
AEGISTHUS,AGAMEMNON,co_occurrence,,1
AEGISTHUS,CILISSA,co_occurrence,,2
AEGISTHUS,ELECTRA,co_occurrence,,1
AEGISTHUS,KLYTEMNESTRA,co_occurrence,,4
AEGISTHUS,ORESTES,co_occurrence,,1
AEGISTHUS,AGAMEMNON,co_occurrence,,1
AEGISTHUS,KLYTEMNESTRA,co_occurrence,,1
AEGISTHUS,ORESTES,co_occurrence,,1
AGAMEMNON,ATHENE,co_occurrence,,15
AGAMEMNON,CALCHAS,co_occurrence,,14
AGAMEMNON,CASSANDRA,co_occurrence,,4
AGAMEMNON,CASSANDRA,co_occurrence,,1
AGAMEMNON,CILISSA,co_occurrence,,6
AGAMEMNON,DOCTOR,co_occurrence,,7
AGAMEMNON,ELECTRA,co_occurrence,,5
AGAMEMNON,FURY,co_occurrence,,9
AGAMEMNON,IPHIGENIA,co_occurrence,,6
AGAMEMNON,KLYTEMNESTRA,co_occurrence,,27
AGAMEMNON,MENELAUS,co_occurrence,,9
AGAMEMNON,ORESTES,co_occurrence,,26
AGAMEMNON,QUESTION,co_occurrence,,1
AGAMEMNON,TALTHYBIUS,co_occurrence,,4
AGAMEMNON,WOMAN,co_occurrence,,1
ATHENE,CALCHAS,co_occurrence,,13
ATHENE,CASSANDRA,co_occurrence,,1
ATHENE,DOCTOR,co_occurrence,,6
ATHENE,FURY,co_occurrence,,9
ATHENE,KLYTEMNESTRA,co_occurrence,,12
ATHENE,MENELAUS,co_occurrence,,5
ATHENE,ORESTES,co_occurrence,,17
ATHENE,TALTHYBIUS,co_occurrence,,3
CALCHAS,CASSANDRA,co_occurrence,,1
CALCHAS,DOCTOR,co_occurrence,,5
CALCHAS,ELECTRA,co_occurrence,,1
CALCHAS,FURY,co_occurrence,,7
CALCHAS,IPHIGENIA,co_occurrence,,1
CALCHAS,KLYTEMNESTRA,co_occurrence,,12
CALCHAS,MENELAUS,co_occurrence,,4
CALCHAS,ORESTES,co_occurrence,,15
CALCHAS,TALTHYBIUS,co_occurrence,,2
CASSANDRA,CILISSA,co_occurrence,,4
CASSANDRA,ELECTRA,co_occurrence,,4
CASSANDRA,IPHIGENIA,co_occurrence,,1
CASSANDRA,KLYTEMNESTRA,co_occurrence,,5
CASSANDRA,ORESTES,co_occurrence,,3
CASSANDRA,DOCTOR,co_occurrence,,1
CASSANDRA,ORESTES,co_occurrence,,1
CILISSA,ELECTRA,co_occurrence,,8
CILISSA,IPHIGENIA,co_occurrence,,3
CILISSA,KLYTEMNESTRA,co_occurrence,,11
CILISSA,ORESTES,co_occurrence,,10
DOCTOR,ELECTRA,co_occurrence,,2
DOCTOR,FURY,co_occurrence,,6
DOCTOR,KLYTEMNESTRA,co_occurrence,,6
DOCTOR,MENELAUS,co_occurrence,,3
DOCTOR,ORESTES,co_occurrence,,22
DOCTOR,TALTHYBIUS,co_occurrence,,3
ELECTRA,IPHIGENIA,co_occurrence,,4
ELECTRA,KLYTEMNESTRA,co_occurrence,,13
ELECTRA,ORESTES,co_occurrence,,12
FURY,KLYTEMNESTRA,co_occurrence,,8
FURY,MENELAUS,co_occurrence,,2
FURY,ORESTES,co_occurrence,,11
FURY,TALTHYBIUS,co_occurrence,,3
IPHIGENIA,KLYTEMNESTRA,co_occurrence,,10
IPHIGENIA,MENELAUS,co_occurrence,,1
IPHIGENIA,ORESTES,co_occurrence,,7
IPHIGENIA,QUESTION,co_occurrence,,1
IPHIGENIA,WOMAN,co_occurrence,,1
KLYTEMNESTRA,MENELAUS,co_occurrence,,6
KLYTEMNESTRA,ORESTES,co_occurrence,,32
KLYTEMNESTRA,QUESTION,co_occurrence,,2
KLYTEMNESTRA,TALTHYBIUS,co_occurrence,,3
MENELAUS,ORESTES,co_occurrence,,6
MENELAUS,TALTHYBIUS,co_occurrence,,3
MENELAUS,AGAMEMNON,co_occurrence,,1
MENELAUS,WOMAN,co_occurrence,,1
ORESTES,TALTHYBIUS,co_occurrence,,4
ORESTES,WOMAN,co_occurrence,,1