Source,Target,EdgeType,Weight,Interval
Antigone,Ismene,co_occurrence,2,
Chorus,Creon,co_occurrence,6,
Chorus,Guard,co_occurrence,2,
Creon,Guard,co_occurrence,2,
Guard,Antigone,co_occurrence,1,
Guard,Ismene,co_occurrence,1,
Chorus,Ismene,co_occurrence,1,
Creon,Ismene,co_occurrence,1,
Creon,Antigone,co_occurrence,2,
Chorus,Antigone,co_occurrence,2,
Haemon,Creon,co_occurrence,1,
Haemon,Chorus,co_occurrence,1,
Tiresias,Creon,co_occurrence,1,
Tiresias,Chorus,co_occurrence,1,
Messenger,Chorus,co_occurrence,2,
Eurydice,Messenger,co_occurrence,1,
Eurydice,Chorus,co_occurrence,1,
Eurydice,Creon,co_occurrence,1,
Messenger,Creon,co_occurrence,1,
Polyneices,Antigone,pollution,,"<[25.0,80.0]>"
Creon,Chorus,pollution,,"<[18.0,80.0]>"
Creon,Antigone,pollution,,"<[30.0,80.0]>"
Creon,Haemon,pollution,,"<[42.0,80.0]>"
Creon,Eurydice,pollution,,"<[73.0,80.0]>"
Antigone,Haemon,pollution,,"<[42.0,80.0]>"
Guard,Antigone,pollution,,"<[25.0,80.0]>"
Haemon,Creon,pollution,,"<[70.0,80.0]>"
Eurydice,Creon,pollution,,"<[75.0,80.0]>"