Id,Label,PollutionStatus
Augustus,Augustus,"<[0.0, 170.0, majorly_polluted]>"
Amalia,Amalia,"<[0.0, 140.0, majorly_polluted]>"
Hector,Hector,"<[0.0, 120.0, majorly_polluted]>"
Louis,Louis,"<[0.0, 80.0, minorly_polluted]; [80.0, 140.0, majorly_polluted]>"
Scylla,Scylla,"<[0.0, 170.0, minorly_polluted]>"
Phebe,Phebe,"<[0.0, 90.0, not_polluted]; [90.0, 170.0, minorly_polluted]>"
Diana,Diana,"<[0.0, 50.0, not_polluted]; [50.0, 170.0, minorly_polluted]>"
Alexander,Alexander,"<[0.0, 90.0, not_polluted]; [90.0, 170.0, minorly_polluted]>"
Scipio,Scipio,"<[0.0, 90.0, not_polluted]; [90.0, 170.0, minorly_polluted]>"
Ticey,Ticey,"<[0.0, 10.0, not_polluted]; [10.0, 170.0, minorly_polluted]>"
Doctor,Doctor,"<[0.0, 30.0, minorly_polluted]>"
Jones,Jones,"<[20.0, 140.0, minorly_polluted]>"
Henry,Henry,"<[60.0, 130.0, minorly_polluted]>"
Benjamin,Benjamin,"<[130.0, 170.0, minorly_polluted]>"
Psyche,Psyche,"<[0.0, 90.0, not_polluted]; [90.0, 170.0, minorly_polluted]>"
Leader,Leader,"<[60.0, 70.0, minorly_polluted]>"
Conspirators_group,Conspirators_group,"<[60.0, 130.0, minorly_polluted]>"
Slaves_group,Slaves_group,"<[10.0, 170.0, minorly_polluted]>"
Narrator,Narrator,"<[0.0, 170.0, not_polluted]>"